BinCenter (ps);Histo01;Histo02;Histo03;Histo04
482.5;0;0;26;35
483.5;0;0;25;29
484.5;0;0;39;29
485.5;0;0;27;32
486.5;0;0;23;38
487.5;0;0;34;28
488.5;0;0;27;22
489.5;0;0;37;25
490.5;0;0;29;19
491.5;0;0;23;24
492.5;0;0;31;24
493.5;0;0;26;22
494.5;0;0;29;27
495.5;0;0;29;21
496.5;0;0;30;21
497.5;0;0;23;23
498.5;0;0;26;16
499.5;0;0;39;24
500.5;0;0;28;33
501.5;0;0;35;29
502.5;0;0;31;27
503.5;0;0;28;24
504.5;0;0;26;29
505.5;0;0;28;21
506.5;0;0;32;20
507.5;0;0;31;32
508.5;0;0;28;36
509.5;0;0;29;34
510.5;0;0;28;16
511.5;0;0;30;26
512.5;0;0;34;25
513.5;0;0;26;31
514.5;0;0;23;34
515.5;0;0;37;33
516.5;0;0;28;24
517.5;0;0;24;23
518.5;0;0;29;24
519.5;0;0;34;27
520.5;0;0;34;34
521.5;0;0;32;23
522.5;0;0;25;40
523.5;0;0;29;32
524.5;0;0;24;37
525.5;1;0;27;32
526.5;0;0;27;24
527.5;0;0;38;38
528.5;0;0;28;30
529.5;0;0;23;28
530.5;0;0;37;24
531.5;0;0;29;26
532.5;0;0;24;21
533.5;0;0;26;20
534.5;0;0;26;27
535.5;0;0;26;32
536.5;0;0;27;30
537.5;0;0;34;26
538.5;0;0;30;27
539.5;0;0;34;29
540.5;0;0;39;37
541.5;0;0;16;27
542.5;0;0;33;23
543.5;0;0;19;29
544.5;0;0;22;25
545.5;0;0;32;39
546.5;0;0;25;29
547.5;0;0;27;25
548.5;0;0;29;27
549.5;0;0;25;28
550.5;0;0;25;23
551.5;0;0;28;33
552.5;0;0;32;44
553.5;0;0;24;22
554.5;0;0;29;32
555.5;0;0;21;26
556.5;0;0;34;22
557.5;0;0;31;24
558.5;0;0;29;37
559.5;0;0;28;25
560.5;0;0;30;23
561.5;0;0;22;34
562.5;0;0;27;23
563.5;0;0;30;23
564.5;0;0;30;34
565.5;0;0;36;28
566.5;0;0;28;38
567.5;0;0;24;29
568.5;0;0;29;26
569.5;0;0;25;32
570.5;0;0;34;28
571.5;0;0;31;25
572.5;0;0;33;32
573.5;0;0;23;32
574.5;0;0;37;33
575.5;0;0;26;26
576.5;0;0;21;26
577.5;0;0;31;28
578.5;0;0;37;30
579.5;0;0;16;38
580.5;0;0;24;27
581.5;0;0;34;26
582.5;0;0;29;24
583.5;0;0;34;27
584.5;0;0;35;26
585.5;0;0;27;27
586.5;0;0;34;28
587.5;0;0;27;22
588.5;0;0;20;37
589.5;0;0;31;38
590.5;0;0;28;18
591.5;0;0;23;27
592.5;0;0;34;31
593.5;0;0;22;36
594.5;0;0;35;34
595.5;0;0;40;32
596.5;0;0;27;24
597.5;0;0;27;29
598.5;0;0;25;30
599.5;0;0;34;25
600.5;0;0;24;29
601.5;0;0;24;24
602.5;0;0;24;16
603.5;0;0;32;26
604.5;0;0;28;24
605.5;0;0;21;30
606.5;0;0;32;28
607.5;0;0;24;30
608.5;0;0;33;19
609.5;0;0;30;35
610.5;0;0;28;25
611.5;0;0;25;27
612.5;0;0;29;24
613.5;0;0;36;30
614.5;0;0;23;25
615.5;0;0;32;25
616.5;0;0;30;28
617.5;0;0;23;30
618.5;0;0;33;34
619.5;0;0;18;30
620.5;0;0;26;37
621.5;0;0;27;31
622.5;0;0;22;27
623.5;0;0;36;26
624.5;0;0;33;22
625.5;0;0;18;18
626.5;0;0;43;30
627.5;0;0;31;28
628.5;0;0;28;25
629.5;0;0;28;23
630.5;0;0;28;38
631.5;0;0;29;27
632.5;0;0;27;24
633.5;0;0;28;30
634.5;0;0;18;25
635.5;0;0;24;26
636.5;0;0;30;30
637.5;0;0;35;30
638.5;0;0;28;38
639.5;0;0;28;28
640.5;0;0;32;27
641.5;0;0;14;38
642.5;0;0;32;33
643.5;0;0;29;30
644.5;0;0;26;28
645.5;0;0;34;29
646.5;0;0;28;32
647.5;0;0;31;32
648.5;0;0;32;30
649.5;0;0;23;28
650.5;0;0;24;31
651.5;0;0;27;29
652.5;0;0;25;32
653.5;0;0;26;23
654.5;0;0;29;25
655.5;0;0;31;32
656.5;0;0;27;36
657.5;0;0;31;37
658.5;0;0;31;40
659.5;0;0;29;24
660.5;0;0;30;31
661.5;0;0;24;29
662.5;0;0;27;33
663.5;0;0;22;38
664.5;0;0;31;31
665.5;0;0;21;28
666.5;0;0;36;28
667.5;0;0;25;34
668.5;0;0;32;34
669.5;0;0;40;31
670.5;0;0;33;37
671.5;0;0;28;38
672.5;0;0;36;31
673.5;0;0;22;30
674.5;0;0;35;33
675.5;0;0;33;29
676.5;0;0;25;27
677.5;0;0;24;25
678.5;0;0;26;29
679.5;0;0;31;26
680.5;0;0;29;39
681.5;0;0;22;29
682.5;0;0;29;25
683.5;0;0;28;29
684.5;0;0;25;20
685.5;0;0;27;37
686.5;0;0;27;32
687.5;0;0;25;27
688.5;0;0;25;30
689.5;0;0;31;23
690.5;0;0;26;23
691.5;0;0;43;37
692.5;0;0;27;14
693.5;0;0;34;27
694.5;0;0;20;32
695.5;0;0;37;28
696.5;0;0;32;31
697.5;0;0;23;33
698.5;0;0;25;26
699.5;0;0;31;28
700.5;0;0;29;33
701.5;0;0;30;31
702.5;0;0;25;26
703.5;0;0;24;34
704.5;0;0;26;21
705.5;0;0;41;33
706.5;0;0;27;23
707.5;0;0;26;27
708.5;0;0;34;31
709.5;0;0;29;28
710.5;0;0;20;25
711.5;0;0;33;29
712.5;0;0;20;28
713.5;0;0;24;27
714.5;0;0;22;32
715.5;0;0;30;26
716.5;0;0;33;33
717.5;0;0;25;31
718.5;0;0;37;26
719.5;0;0;35;34
720.5;0;0;33;29
721.5;0;0;32;20
722.5;0;0;16;25
723.5;0;0;31;33
724.5;0;0;29;34
725.5;0;0;33;30
726.5;0;0;22;22
727.5;0;0;30;25
728.5;0;0;26;24
729.5;0;0;27;21
