TITLE	
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/14
TIME	10:54:29
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-2
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2400.0000
LASTX	  500.0000
NPOINTS	     951
FIRSTY	     0.35752
MAXY	    10.00000
MINY	    -3.86639
XYDATA
1706.0000	1.00966
1704.0000	0.993749
1702.0000	0.727896
1700.0000	10
1698.0000	10
1696.0000	0.817755
1694.0000	10
1692.0000	10
1690.0000	10
1688.0000	2.09976
1686.0000	10
1684.0000	10
1682.0000	1.29852
1680.0000	0.873034
1678.0000	10
1676.0000	1.04242
1674.0000	10
1672.0000	0.4426
1670.0000	0.702648
1668.0000	0.804213
1666.0000	1.07351
1664.0000	1.17986
1662.0000	1.07094
1660.0000	1.06615
1658.0000	1.01896
1656.0000	1.02742
1654.0000	1.04786
1652.0000	1.05585
1650.0000	1.0679
1648.0000	1.07763
1646.0000	1.08441
1644.0000	1.06804
1642.0000	1.08361
1640.0000	1.10239
1638.0000	1.09899
1636.0000	1.11423
1634.0000	1.11098
1632.0000	1.11712
1630.0000	1.1185
1628.0000	1.12723
1626.0000	1.12994
1624.0000	1.14135
1622.0000	1.14183
1620.0000	1.15189
1618.0000	1.1588
1616.0000	1.16751
1614.0000	1.16951
1612.0000	1.18149
1610.0000	1.18882
1608.0000	1.19152
1606.0000	1.20548
1604.0000	1.21123
1602.0000	1.22226
1600.0000	1.23345
1598.0000	1.24666
1596.0000	1.25518
1594.0000	1.26745
1592.0000	1.27769
1590.0000	1.29238
1588.0000	1.30667
1586.0000	1.32472
1584.0000	1.33756
1582.0000	1.34816
1580.0000	1.36225
1578.0000	1.37881
1576.0000	1.3952
1574.0000	1.41892
1572.0000	1.42987
1570.0000	1.44694
1568.0000	1.46861
1566.0000	1.47896
1564.0000	1.49315
1562.0000	1.51596
1560.0000	1.52609
1558.0000	1.54195
1556.0000	1.55888
1554.0000	1.56919
1552.0000	1.59102
1550.0000	1.59501
1548.0000	1.60677
1546.0000	1.61722
1544.0000	1.61958
1542.0000	1.63458
1540.0000	1.64081
1538.0000	1.65036
1536.0000	1.6487
1534.0000	1.64776
1532.0000	1.64452
1530.0000	1.6472
1528.0000	1.64765
1526.0000	1.64456
1524.0000	1.63807
1522.0000	1.62937
1520.0000	1.62088
1518.0000	1.61061
1516.0000	1.60401
1514.0000	1.58793
1512.0000	1.57566
1510.0000	1.56731
1508.0000	1.54852
1506.0000	1.5358
1504.0000	1.52643
1502.0000	1.50572
1500.0000	1.49313
1498.0000	1.47101
1496.0000	1.45527
1494.0000	1.43802
1492.0000	1.41897
1490.0000	1.40257
1488.0000	1.38614
1486.0000	1.36794
1484.0000	1.35493
1482.0000	1.33859
1480.0000	1.32265
1478.0000	1.30777
1476.0000	1.29587
1474.0000	1.28129
1472.0000	1.26643
1470.0000	1.25383
1468.0000	1.24237
1466.0000	1.22832
1464.0000	1.22026
1462.0000	1.2112
1460.0000	1.20135
1458.0000	1.1909
1456.0000	1.18438
1454.0000	1.17798
1452.0000	1.16749
1450.0000	1.1653
1448.0000	1.15982
1446.0000	1.15673
1444.0000	1.15094
1442.0000	1.14746
1440.0000	1.14506
1438.0000	1.1447
1436.0000	1.14152
1434.0000	1.14452
1432.0000	1.14179
1430.0000	1.14492
1428.0000	1.14539
1426.0000	1.14828
1424.0000	1.15146
1422.0000	1.15644
1420.0000	1.16256
1418.0000	1.16494
1416.0000	1.17139
1414.0000	1.17635
1412.0000	1.1823
1410.0000	1.18696
1408.0000	1.19752
1406.0000	1.20531
1404.0000	1.21388
1402.0000	1.22242
1400.0000	1.23477
1398.0000	1.24466
1396.0000	1.25148
1394.0000	1.26604
1392.0000	1.27409
1390.0000	1.2899
1388.0000	1.3013
1386.0000	1.31538
1384.0000	1.32547
1382.0000	1.34406
1380.0000	1.35516
1378.0000	1.36932
1376.0000	1.38054
1374.0000	1.39449
1372.0000	1.41234
1370.0000	1.42204
1368.0000	1.44256
1366.0000	1.44962
1364.0000	1.46609
1362.0000	1.48033
1360.0000	1.49624
1358.0000	1.51163
1356.0000	1.52106
1354.0000	1.53417
1352.0000	1.54599
1350.0000	1.56068
1348.0000	1.57147
1346.0000	1.58212
1344.0000	1.58597
1342.0000	1.598
1340.0000	1.60881
1338.0000	1.6178
1336.0000	1.61846
1334.0000	1.63055
1332.0000	1.63298
1330.0000	1.64081
1328.0000	1.6448
1326.0000	1.64776
1324.0000	1.64526
1322.0000	1.64373
1320.0000	1.64597
1318.0000	1.64605
1316.0000	1.64466
1314.0000	1.63822
1312.0000	1.63585
1310.0000	1.63437
1308.0000	1.62885
1306.0000	1.62451
1304.0000	1.62577
1302.0000	1.61437
1300.0000	1.60937
1298.0000	1.60545
1296.0000	1.6027
1294.0000	1.59424
1292.0000	1.58936
1290.0000	1.59012
1288.0000	1.58076
1286.0000	1.5769
1284.0000	1.57531
1282.0000	1.56964
1280.0000	1.56632
1278.0000	1.56666
1276.0000	1.56722
1274.0000	1.56319
1272.0000	1.56502
1270.0000	1.56086
1268.0000	1.56032
1266.0000	1.56599
1264.0000	1.5677
1262.0000	1.57065
1260.0000	1.57506
1258.0000	1.58285
1256.0000	1.58667
1254.0000	1.59282
1252.0000	1.59923
1250.0000	1.60965
1248.0000	1.62106
1246.0000	1.63056
1244.0000	1.63992
1242.0000	1.65705
1240.0000	1.66035
1238.0000	1.67642
1236.0000	1.69397
1234.0000	1.70577
1232.0000	1.72182
1230.0000	1.73484
1228.0000	1.7491
1226.0000	1.76782
1224.0000	1.79363
1222.0000	1.81293
1220.0000	1.82705
1218.0000	1.83831
1216.0000	1.85965
1214.0000	1.89005
1212.0000	1.8875
1210.0000	1.92142
1208.0000	1.93005
1206.0000	1.94576
1204.0000	1.96654
1202.0000	1.99359
1200.0000	1.98793
1198.0000	2.02832
1196.0000	2.05508
1194.0000	2.05111
1192.0000	2.06458
1190.0000	2.08848
1188.0000	2.09662
1186.0000	2.10808
1184.0000	2.14929
1182.0000	2.18797
1180.0000	2.18046
1178.0000	2.17669
1176.0000	2.20107
1174.0000	2.20631
1172.0000	2.24235
1170.0000	2.20197
1168.0000	2.24714
1166.0000	2.24923
1164.0000	2.27065
1162.0000	2.27267
1160.0000	2.30473
1158.0000	2.2977
1156.0000	2.30107
1154.0000	2.28982
1152.0000	2.31889
1150.0000	2.34092
1148.0000	2.28064
1146.0000	2.30994
1144.0000	2.27317
1142.0000	2.33139
1140.0000	2.4058
1138.0000	2.40584
1136.0000	2.30667
1134.0000	2.35147
1132.0000	2.36499
1130.0000	2.37085
1128.0000	2.36269
1126.0000	2.36843
1124.0000	2.35595
1122.0000	2.39486
1120.0000	2.36303
1118.0000	2.3722
1116.0000	2.34937
1114.0000	2.37861
1112.0000	2.3836
1110.0000	2.37924
1108.0000	2.40225
1106.0000	2.36788
1104.0000	2.37773
1102.0000	2.38576
1100.0000	2.40084
1098.0000	2.39563
1096.0000	2.40546
1094.0000	2.41981
1092.0000	2.40898
1090.0000	2.40331
1088.0000	2.4509
1086.0000	2.41731
1084.0000	2.38472
1082.0000	2.40018
1080.0000	2.42095
1078.0000	2.41257
1076.0000	2.44631
1074.0000	2.43522
1072.0000	2.4519
1070.0000	2.4531
1068.0000	2.45631
1066.0000	2.44787
1064.0000	2.46845
1062.0000	2.50159
1060.0000	2.47064
1058.0000	2.50082
1056.0000	2.50775
1054.0000	2.5036
1052.0000	2.49734
1050.0000	2.53522
1048.0000	2.55979
1046.0000	2.55254
1044.0000	2.51926
1042.0000	2.54355
1040.0000	2.60362
1038.0000	2.59064
1036.0000	2.61012
1034.0000	2.61202
1032.0000	2.59287
1030.0000	2.64682
1028.0000	2.58793
1026.0000	2.61589
1024.0000	2.67205
1022.0000	2.59884
1020.0000	2.71527
1018.0000	2.68723
1016.0000	2.70284
1014.0000	2.70404
1012.0000	2.76793
1010.0000	2.73274
1008.0000	2.87264
1006.0000	2.6733
1004.0000	2.85113
1002.0000	2.83686
1000.0000	2.90836
998.0000	2.82418
996.0000	2.93164
994.0000	2.87379
992.0000	3.07028
990.0000	2.86719
988.0000	3.04982
986.0000	2.94702
984.0000	2.96637
982.0000	2.99332
980.0000	2.94733
978.0000	2.98838
976.0000	3.01098
974.0000	3.05374
972.0000	2.97217
970.0000	3.17508
968.0000	3.07259
966.0000	3.0779
964.0000	2.98862
962.0000	2.98323
960.0000	3.81657
958.0000	3.26745
956.0000	3.2214
954.0000	3.38869
952.0000	3.04344
950.0000	2.9855
948.0000	3.36358
946.0000	3.14218
944.0000	3.08773
942.0000	3.33687
940.0000	4.04736
938.0000	4.02238
936.0000	3.43818
934.0000	3.60553
932.0000	10
930.0000	3.54836
928.0000	10
926.0000	3.43776
924.0000	10
922.0000	10
920.0000	3.19361
918.0000	3.5633
916.0000	3.30334
914.0000	3.12063
912.0000	10
910.0000	3.19668
908.0000	3.36585
906.0000	3.69084
904.0000	3.07078
902.0000	10
900.0000	3.21741
898.0000	3.23434
896.0000	10
894.0000	10
892.0000	10
890.0000	3.43772
888.0000	10
886.0000	2.57678
884.0000	3.39854
882.0000	3.8077
880.0000	2.97348
878.0000	10
876.0000	3.56113
874.0000	10
872.0000	3.45717
870.0000	3.35882
868.0000	10
866.0000	3.34542
864.0000	10
862.0000	10
860.0000	10
858.0000	10
856.0000	10
854.0000	3.74225
852.0000	10
850.0000	4.65106
848.0000	4.70781
846.0000	4.72703
844.0000	4.76592
842.0000	4.81316
840.0000	4.8531
838.0000	4.88716
836.0000	4.90841
834.0000	4.97141
832.0000	5.03544
830.0000	5.08468
828.0000	5.10429
826.0000	5.1904
824.0000	5.27041
822.0000	5.32129
820.0000	5.51305
818.0000	5.95733
816.0000	5.75279
814.0000	5.6679
812.0000	10
810.0000	10
808.0000	10
806.0000	10
804.0000	10
802.0000	10
800.0000	10
798.0000	10
796.0000	10
794.0000	10
792.0000	10
790.0000	10
788.0000	10
786.0000	10
784.0000	10
782.0000	10
780.0000	10
778.0000	10
776.0000	10
774.0000	10
772.0000	10
770.0000	10
768.0000	10
766.0000	10
764.0000	10
762.0000	10
760.0000	10
758.0000	10
756.0000	10
754.0000	10
752.0000	10
750.0000	10
748.0000	10
746.0000	10
744.0000	10
742.0000	10
740.0000	10
738.0000	10
736.0000	10
734.0000	10
732.0000	10
730.0000	10
728.0000	10
726.0000	10
724.0000	10
722.0000	10
720.0000	10
718.0000	10
716.0000	10
714.0000	10
712.0000	10
710.0000	10
708.0000	10
706.0000	10
704.0000	10
702.0000	10
700.0000	10
698.0000	10
696.0000	10
694.0000	10
692.0000	10
690.0000	10
688.0000	10
686.0000	10
684.0000	10
682.0000	10
680.0000	10
678.0000	10
676.0000	10
674.0000	10
672.0000	10
670.0000	10
668.0000	10
666.0000	10
664.0000	10
662.0000	10
660.0000	4.52244
658.0000	5.03467
656.0000	10
654.0000	10
652.0000	10
650.0000	10
648.0000	10
646.0000	10
644.0000	10
642.0000	10
640.0000	10
638.0000	10
636.0000	10
634.0000	10
632.0000	10
630.0000	10
628.0000	10
626.0000	10
624.0000	10
622.0000	10
620.0000	10
618.0000	10
616.0000	10
614.0000	10
612.0000	10
610.0000	10
608.0000	10
606.0000	10
604.0000	10
602.0000	10
600.0000	3.77785
598.0000	10
596.0000	5.09756
594.0000	4.48328
592.0000	4.04377
590.0000	4.79676
588.0000	10
586.0000	10
584.0000	0.530642
582.0000	4.7101E-005
580.0000	0.000139105
578.0000	9.30142E-005
576.0000	8.01846E-005
574.0000	9.33706E-005
572.0000	5.77329E-005
570.0000	9.04602E-005
568.0000	0.000100142
566.0000	0.000115585
564.0000	7.57893E-005
562.0000	4.31809E-005
560.0000	8.86189E-005
558.0000	0.000135482
556.0000	6.83054E-005
554.0000	4.52004E-005
552.0000	8.00658E-005
550.0000	9.85974E-005
548.0000	0.000167378
546.0000	5.88021E-005
544.0000	0.000162508
542.0000	6.72957E-005
540.0000	0.000159954
538.0000	7.72742E-005
536.0000	-2.67282E-005
534.0000	0.000139937
532.0000	9.70531E-005
530.0000	7.62645E-005
528.0000	0.000125088
526.0000	0.000106794
524.0000	0.000147124
522.0000	6.39695E-005
520.0000	3.10641E-005
518.0000	0.000121465
516.0000	9.96071E-005
514.0000	7.49578E-005
512.0000	0.000106081
510.0000	9.04008E-005
508.0000	7.72742E-005
506.0000	8.95692E-005
504.0000	6.03464E-005
502.0000	8.57679E-005
500.0000	7.27007E-005

##### Extended Information
[Comments]
Sample name
Comment
User
Division
Company	Uni Bicocca

[Detailed Information]
Creation date	14/11/2024 11:54

Data array type	Linear data array
