TITLE,280s - 183nm - n
DATA TYPE,ULTRAVIOLET SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,24/11/14
TIME,15:16:38
SPECTROMETER/DATA SYSTEM,
LOCALE,1040
RESOLUTION,
DELTAX,-0.5
XUNITS,NANOMETERS
YUNITS,ABSORBANCE
FIRSTX, 2300.0000
LASTX,  900.0000
NPOINTS,    2801
FIRSTY,     5.10183
MAXY,    10.00000
MINY,    -4.45458
XYDATA
2076.5000,0.0865164
2076.0000,0.091677
2075.5000,0.101816
2075.0000,0.0926688
2074.5000,0.103518
2074.0000,0.0977482
2073.5000,0.106336
2073.0000,0.107269
2072.5000,0.106046
2072.0000,0.105755
2071.5000,0.107563
2071.0000,0.107439
2070.5000,0.112604
2070.0000,0.125387
2069.5000,0.11352
2069.0000,0.1202
2068.5000,0.119222
2068.0000,0.123451
2067.5000,0.126063
2067.0000,0.125335
2066.5000,0.126288
2066.0000,0.134818
2065.5000,0.131433
2065.0000,0.134639
2064.5000,0.136948
2064.0000,0.13837
2063.5000,0.141717
2063.0000,0.145239
2062.5000,0.140566
2062.0000,0.151966
2061.5000,0.150667
2061.0000,0.153938
2060.5000,0.159477
2060.0000,0.162317
2059.5000,0.163736
2059.0000,0.163109
2058.5000,0.163225
2058.0000,0.168843
2057.5000,0.159186
2057.0000,0.169043
2056.5000,0.178044
2056.0000,0.178024
2055.5000,0.177665
2055.0000,0.186734
2054.5000,0.183777
2054.0000,0.18393
2053.5000,0.190384
2053.0000,0.185998
2052.5000,0.194131
2052.0000,0.197657
2051.5000,0.192294
2051.0000,0.205984
2050.5000,0.207753
2050.0000,0.206094
2049.5000,0.21043
2049.0000,0.204785
2048.5000,0.218721
2048.0000,0.213473
2047.5000,0.220796
2047.0000,0.220305
2046.5000,0.227175
2046.0000,0.226409
2045.5000,0.228892
2045.0000,0.231233
2044.5000,0.23327
2044.0000,0.234248
2043.5000,0.239458
2043.0000,0.240842
2042.5000,0.248025
2042.0000,0.246145
2041.5000,0.254707
2041.0000,0.258109
2040.5000,0.253528
2040.0000,0.257676
2039.5000,0.260873
2039.0000,0.262567
2038.5000,0.262645
2038.0000,0.2708
2037.5000,0.269126
2037.0000,0.265372
2036.5000,0.277198
2036.0000,0.279828
2035.5000,0.276864
2035.0000,0.287123
2034.5000,0.288749
2034.0000,0.291783
2033.5000,0.283457
2033.0000,0.28926
2032.5000,0.291299
2032.0000,0.298165
2031.5000,0.29001
2031.0000,0.301368
2030.5000,0.311292
2030.0000,0.299046
2029.5000,0.309957
2029.0000,0.311787
2028.5000,0.311631
2028.0000,0.316016
2027.5000,0.316295
2027.0000,0.310032
2026.5000,0.314289
2026.0000,0.317075
2025.5000,0.324375
2025.0000,0.327166
2024.5000,0.333712
2024.0000,0.331948
2023.5000,0.327373
2023.0000,0.334817
2022.5000,0.338969
2022.0000,0.345329
2021.5000,0.336644
2021.0000,0.34383
2020.5000,0.341171
2020.0000,0.342358
2019.5000,0.347969
2019.0000,0.336512
2018.5000,0.34817
2018.0000,0.345131
2017.5000,0.352426
2017.0000,0.334309
2016.5000,0.351487
2016.0000,0.356364
2015.5000,0.3542
2015.0000,0.359224
2014.5000,0.366002
2014.0000,0.35181
2013.5000,0.353732
2013.0000,0.354377
2012.5000,0.353896
2012.0000,0.364671
2011.5000,0.347671
2011.0000,0.355319
2010.5000,0.365987
2010.0000,0.356139
2009.5000,0.361817
2009.0000,0.355948
2008.5000,0.355357
2008.0000,0.348778
2007.5000,0.36903
2007.0000,0.36002
2006.5000,0.349638
2006.0000,0.360949
2005.5000,0.369004
2005.0000,0.358525
2004.5000,0.358075
2004.0000,0.344606
2003.5000,0.353239
2003.0000,0.346237
2002.5000,0.356214
2002.0000,0.352092
2001.5000,0.345081
2001.0000,0.342162
2000.5000,0.347696
2000.0000,0.348044
1999.5000,0.344686
1999.0000,0.343587
1998.5000,0.348983
1998.0000,0.345556
1997.5000,0.334278
1997.0000,0.34435
1996.5000,0.335813
1996.0000,0.340868
1995.5000,0.340674
1995.0000,0.336799
1994.5000,0.338228
1994.0000,0.330441
1993.5000,0.330945
1993.0000,0.331701
1992.5000,0.331948
1992.0000,0.327739
1991.5000,0.328214
1991.0000,0.321505
1990.5000,0.326065
1990.0000,0.323681
1989.5000,0.312514
1989.0000,0.318546
1988.5000,0.308819
1988.0000,0.311375
1987.5000,0.314808
1987.0000,0.307995
1986.5000,0.309756
1986.0000,0.315838
1985.5000,0.302728
1985.0000,0.304701
1984.5000,0.302391
1984.0000,0.30238
1983.5000,0.289806
1983.0000,0.291407
1982.5000,0.291772
1982.0000,0.29024
1981.5000,0.282405
1981.0000,0.281796
1980.5000,0.283312
1980.0000,0.282095
1979.5000,0.277067
1979.0000,0.282926
1978.5000,0.278051
1978.0000,0.268063
1977.5000,0.268948
1977.0000,0.270621
1976.5000,0.264631
1976.0000,0.264629
1975.5000,0.262037
1975.0000,0.258361
1974.5000,0.253779
1974.0000,0.253573
1973.5000,0.253573
1973.0000,0.249202
1972.5000,0.249024
1972.0000,0.243891
1971.5000,0.243555
1971.0000,0.240537
1970.5000,0.231258
1970.0000,0.238787
1969.5000,0.232814
1969.0000,0.229248
1968.5000,0.231763
1968.0000,0.228482
1967.5000,0.224121
1967.0000,0.221533
1966.5000,0.215278
1966.0000,0.212495
1965.5000,0.213426
1965.0000,0.211068
1964.5000,0.214201
1964.0000,0.208674
1963.5000,0.207455
1963.0000,0.208372
1962.5000,0.204016
1962.0000,0.201889
1961.5000,0.202068
1961.0000,0.197206
