TITLE	280s - 183nm - n
DATA TYPE	ULTRAVIOLET SPECTRUM
ORIGIN	JASCO
OWNER	
DATE	24/11/13
TIME	18:35:19
SPECTROMETER/DATA SYSTEM	
LOCALE	1040
RESOLUTION	
DELTAX	-0.5
XUNITS	NANOMETERS
YUNITS	ABSORBANCE
FIRSTX	 2500.0000
LASTX	  900.0000
NPOINTS	    3201
FIRSTY	    -2.84036
MAXY	    10.00000
MINY	    -4.40055
XYDATA
2146.0000	0.0966864
2145.5000	0.153028
2145.0000	0.0575219
2144.5000	-0.0270261
2144.0000	-0.000528052
2143.5000	-0.0411561
2143.0000	-0.0653723
2142.5000	-0.161613
2142.0000	-0.325092
2141.5000	-0.355196
2141.0000	-0.293395
2140.5000	0.238773
2140.0000	0.196276
2139.5000	0.6842
2139.0000	1.3121
2138.5000	0.0332594
2138.0000	-0.515539
2137.5000	-0.304496
2137.0000	-0.287486
2136.5000	-0.214129
2136.0000	-0.112629
2135.5000	-0.106022
2135.0000	-0.0713213
2134.5000	-0.0805237
2134.0000	-0.0158135
2133.5000	-0.0661809
2133.0000	-0.0965163
2132.5000	-0.0661989
2132.0000	-0.0339067
2131.5000	-0.0299767
2131.0000	-0.0281658
2130.5000	-0.0183922
2130.0000	-0.0142395
2129.5000	-0.00928482
2129.0000	-0.00649621
2128.5000	-0.00387732
2128.0000	-0.00124974
2127.5000	-0.00100366
2127.0000	-0.00101934
2126.5000	-0.0032323
2126.0000	-0.00454391
2125.5000	-0.00679642
2125.0000	-0.00605582
2124.5000	-0.00561447
2124.0000	-0.00514849
2123.5000	-0.00388936
2123.0000	-0.00427087
2122.5000	-0.00287001
2122.0000	-0.00260259
2121.5000	-0.00414674
2121.0000	-0.00347334
2120.5000	-0.00310782
2120.0000	-0.00428531
2119.5000	-0.00405166
2119.0000	-0.00398066
2118.5000	-0.00407644
2118.0000	-0.00320569
2117.5000	-0.00348142
2117.0000	-0.00259634
2116.5000	-0.00230758
2116.0000	-0.00250466
2115.5000	-0.00303893
2115.0000	-0.00267621
2114.5000	-0.00333589
2114.0000	-0.00306084
2113.5000	-0.00376904
2113.0000	-0.00361532
2112.5000	-0.00367619
2112.0000	-0.00366284
2111.5000	-0.00329397
2111.0000	-0.00329592
2110.5000	-0.00260656
2110.0000	-0.00254989
2109.5000	-0.00215864
2109.0000	-0.00188453
2108.5000	-0.00197104
2108.0000	-0.00177207
2107.5000	-0.00195227
2107.0000	-0.00169824
2106.5000	-0.00150464
2106.0000	-0.00146653
2105.5000	-0.0012408
2105.0000	-0.00109468
2104.5000	-0.00108415
2104.0000	-0.000967624
2103.5000	-0.000827125
2103.0000	-0.00106715
2102.5000	-0.000850633
2102.0000	-0.000583204
2101.5000	-0.000632294
2101.0000	-0.000457081
2100.5000	-0.000381074
2100.0000	-0.000328453
2099.5000	-0.000467287
2099.0000	-0.000211164
2098.5000	-0.000166504
2098.0000	0.000165448
2097.5000	8.81663E-005
2097.0000	-5.00423E-005
2096.5000	-0.000136354
2096.0000	-0.000308602
2095.5000	-0.000422234
2095.0000	-0.000436838
2094.5000	-0.000707268
2094.0000	-0.000394236
2093.5000	-0.000370515
2093.0000	-5.47622E-006
2092.5000	0.000298623
2092.0000	0.000554837
2091.5000	0.000752356
2091.0000	0.00106575
2090.5000	0.0011974
2090.0000	0.00122872
2089.5000	0.00128378
2089.0000	0.00120348
2088.5000	0.00144794
2088.0000	0.001543
2087.5000	0.00158835
2087.0000	0.0016259
2086.5000	0.00173464
2086.0000	0.00156788
2085.5000	0.00144914
2085.0000	0.00132126
2084.5000	0.00116882
2084.0000	0.00113015
2083.5000	0.00107977
2083.0000	0.00140016
2082.5000	0.00175666
2082.0000	0.00199904
2081.5000	0.00224702
2081.0000	0.00250194
2080.5000	0.00252802
2080.0000	0.00264875
2079.5000	0.0026148
2079.0000	0.00287148
2078.5000	0.00293845
2078.0000	0.00276756
2077.5000	0.00295182
2077.0000	0.00308714
2076.5000	0.0031463
2076.0000	0.00307903
2075.5000	0.00312197
2075.0000	0.00325201
2074.5000	0.00323059
2074.0000	0.00337868
2073.5000	0.00358904
2073.0000	0.00375069
2072.5000	0.00389264
2072.0000	0.00408801
2071.5000	0.00426462
2071.0000	0.00419908
2070.5000	0.0045019
2070.0000	0.00431694
2069.5000	0.00436649
2069.0000	0.00439987
2068.5000	0.00442927
2068.0000	0.00451894
2067.5000	0.00466092
2067.0000	0.00478965
2066.5000	0.00483012
2066.0000	0.00497366
